text,label
Is your school REALLY preparing you for the future?,1
My school offers great programs that helped me land a job,0
The SHOCKING truth about your favorite politician!,1
I support this politician because of their stance on climate change,0
You'll NEVER guess what happened at the city council meeting!,1
The city council approved a new park near my neighborhood,0
This one simple trick will change your life!,1
I improved my sleep by establishing a regular bedtime routine,0
Are electric cars REALLY better for the environment?,1
I'm considering buying an electric car to reduce my carbon footprint,0
The AI revolution is coming â€“ are you ready?,1
I'm excited about the potential of AI to improve healthcare,0
Is that new health trend REALLY worth the hype?,1
I've been trying intermittent fasting and it's helped me lose weight,0
This hidden fee on your credit card could be costing you a fortune!,1
I recently switched to a credit card with lower fees,0
You won't believe what this company is doing to its employees!,1
I'm happy with my company's employee benefits and work-life balance,0
The secret to happiness revealed!,1
Spending time with loved ones makes me happy,0
